,WT : APC : Tantin_13,WT : APC : Tantin_14,WT : APC : Tantin_15,WT : APC : Tantin_19,WT : APC : Tantin_6,WT : APC : Tantin_7,WT : APC : Tantin_9,WT : APC : Tantin_10,WT : APC : Tantin_11,WT : APC : K28_APC,WT : APC : K30_APC,WT : APC : K16_APC,WT : APC : S01_APC,WT : APC : K17_APC,WT : APC : K19_APC,WT : APC : K23_APC,KO : APC : S06_APC,KO : APC : S02_APC,KO : APC : N19_APC,KO : APC : N22_APC,KO : APC : M15_APC,WT : APC : K28_p1APC,WT : APC : K30_p1APC,WT : APC : K30_p2APC,WT : APC : K16_p1APC,WT : APC : K16_p2APC,WT : APC : K16_p3APC,WT : APC : S01_p1APC,KO : APC : S06_p1APC,KO : APC : S02_p1APC,KO : APC : S02_p2APC,WT : APC : K17_p1APC,WT : APC : K19_p1APC,WT : APC : K19_p2APC,WT : APC : K19_p3APC,WT : APC : K23_p1APC,WT : APC : K23_p2APC,KO : APC : N19_p1APC,KO : APC : N22_p1APC,KO : APC : M15_p1APC,KO : APC : M15_p2APC,KO : APC : L30_p1APC,KO : APC : L30_p2APC,KO : APC : L35_p1APC,KO : APC : L35_p2APC,KO : APC : L30_p3APC,KO : APC : L30_p4APC,KO : APC : L35_p5APC,WT : Norm : AR37_60,WT : Norm : AZ26_60,WT : Norm : G30_60,KO : Norm : G29_60,KO : Norm : AZ27_60,KO : Norm : AR38_60,KO : APC : L35_p3APC,KO : APC : L35_p4APC
Krt20,17189.21,30055.38,6647.9,28953.01,25805.52,21485.88,2460.69,19402.82,1856.67,34108.81,31530.24,36127.91,17726.57,19874.25,30234.54,30230.62,22698.57,17250.55,29259.35,24556.55,27306.69,4978.68,9174.9,11673.1,10400.41,10788.23,12803.02,9442.76,2045.96,1251.41,9365.42,12513.88,7201.38,3079.43,9098.79,17171.79,3169.59,6718.77,6917.33,2234.81,4257.23,5966.1,7021.59,1440.51,1916.87,11967.15,4108.11,191.03,31497.38,35618.49,29754.12,28577.68,37461.56,38465.77,6592.03,1432.75
Ldha,38606.25,29178.21,43050.43,40912.58,39982.77,35004.4,40321.26,50879.25,38738.62,91826.5,64371.94,59847.34,86432.43,73335.84,58017.98,60906.11,90916.26,76910.67,59446.47,63145.4,60967.04,43391.76,49081.79,42662.14,36115.22,39574.14,37768.35,46865.11,52001.14,73989.39,47063.9,41199.06,42202.25,42091.61,41255.44,53340.85,101918.43,34671.82,57070.32,46833.93,35622.46,37281.8,33156.52,49498.79,60709.88,39354.34,29700.12,38239.34,44024.39,42532.96,43025.99,48837.82,48819.34,49398.23,48937.69,44834.98
Lef1,160.02,168.81,165.42,79.9,105.17,143.76,291.66,231.71,490.47,24.61,6.16,8.33,41,14.59,19.1,12.02,21.52,75.95,18.01,13.64,26.99,154.01,235.1,48.82,100.09,76.07,96.82,227.05,565.67,367.04,311.56,79.06,492.68,325.38,160.27,228.88,105.36,300.87,254.2,657.95,307.12,231.85,141.41,288.1,363.83,167.16,292.35,247.4,17.05,11.97,10.5,4.9,17.92,15.13,104.21,336.47
Lgr5,418.99,466.72,353.18,455.92,565.89,447.85,1439.88,1192.29,1582.06,236.29,200.1,168.7,328.02,248,203.73,84.17,251.09,427.23,222.18,214.78,254.87,2060.14,2806.75,1044.18,1029.09,860.98,438.54,1451.48,3500.54,2971.02,2495.58,1344,1324.63,1436.89,1413.48,1524.02,526.8,1008.68,1375.84,1984.96,523.46,780.48,606.77,1754.8,2014.57,848,684.69,2020.71,190.7,164.63,206.14,241.56,168.74,158.18,2164.85,1728.55
Lin28a,67.38,99.3,80.47,70.5,102.66,105.05,104.38,87.73,112.03,34.46,18.47,16.66,13.67,38.9,44.57,21.04,121.96,18.99,21.02,44.32,26.99,100.99,55.15,24.41,34.41,38.04,39.87,60.82,58.77,57.8,99.7,45.18,64.9,62.47,56,86.53,79.02,49.78,85.79,47.19,46.36,59.68,30.85,54.76,80.85,100.74,92.38,78.29,51.16,47.89,59.17,42.44,58.24,56.4,104.21,83.19
Lrig1,2556.06,1626.9,1797.21,2063.37,2476.39,2139.74,2666.39,2719.77,1792.46,2559.76,2056.45,2726.2,7093.36,8038.2,4717.58,2861.64,6370.52,6769.2,3275.73,3647.86,3574.13,3526.99,3752.97,2185.99,2934.01,3713.64,3385.85,6450.59,7247.18,7910.2,7022.51,4943.06,4375.11,2631.7,3506.66,4016.61,3678.83,3015.22,5728.96,4161.47,2354.61,1749.2,1684.05,4457.25,4291.9,1765.74,1045.5,3693.03,3337.95,1782.5,3582.56,2289.94,1939.75,1870.68,3375.01,3085.5
Lyz1,33677.3,40831.29,41402.99,51024.98,34784.61,38321.83,44227.97,23992.01,67497.14,703.93,1117.5,449.85,792.71,899.62,1184.17,1019.01,1327.19,1594.99,2738.28,1827.34,1538.19,70294.8,47946.89,32705.83,57929.5,23609.63,53054.52,46711.04,91752.25,122008.36,95803.98,33084.24,61216.12,110843.85,40977.38,57209.53,151604.55,60408.36,56949.58,58649.29,29290.69,60292.25,57489.12,92904.59,99741.27,58820.61,86758.3,113009.68,1172.08,498.38,265.3,326.43,698.85,938.09,57979.19,178641.09
MPC1,3964.64,3758.58,3578.78,3511.02,3550.57,3676.82,3145.33,3005.47,3381.35,11829.05,10208.39,9611.48,5644.62,8767.62,10683,9994.71,351.53,142.41,387.32,340.92,413.78,4610.08,3903.9,6986.5,5045.37,7939.03,7156.14,7512.85,664.84,713.85,601.31,6462.12,4283.65,5229.56,5814.19,4669.77,6198.69,796.56,842.03,713.47,761.05,663.41,704.47,700.02,683.87,892.28,871.61,652.17,6939.47,6906.99,7044.87,541.88,754.1,602.47,821.34,754.27
MPC2,4183.61,3507.01,3435.72,3532.17,4487.04,4124.67,3673.38,3734.34,3875.91,19350.81,12203.27,12354.34,4646.9,8582.84,17947.19,12582.81,18021.12,5164.72,11145.28,11151.53,13199.08,4923.14,4437.97,6308.46,4879.59,6811.8,6834.35,7407.44,5285.7,4525.89,4903.92,5995.29,5112.65,4557.97,4734.77,5861.63,10211.16,4863.75,6437.53,4491.84,3407.33,4760.94,4293.69,4102.48,4504.14,4139.24,3681,3700.86,7252.64,6890.52,7867.5,8621.13,7429,7068.68,5967.9,4995.22
Mmp7,5126.87,9834.2,10917.41,6288.82,8976.59,4467.47,20225.87,11589.95,26313.02,649.79,403.29,603.97,191.34,243.14,477.49,501.99,609.79,569.64,1456.21,1469.37,410.78,36357.99,36516.73,9137.24,12724.47,6587.05,10268.62,12876.86,32775.75,36527.95,44001.29,7638.59,37296.11,25223.73,8287.78,29484.01,69388.47,17355.39,19471.46,21518.06,13803.17,21034,15876.36,18545.68,34274.59,27125.92,26394.07,24318.25,201.55,257.42,337.83,259.52,218.02,193.95,8751.28,26630.7
